,text,url,price,cpu_name,cpu_gen,cpu_brand,discount_value,store
43,"Ordinateur portable 
						
							MSI
						
						Creator 15 A10UET-095FR",https://www.boulanger.com/ref/1157092,3539,i7,7,Intel,0,Boulanger (FR)
44,"PC Gamer 
						
							MSI
						
						GS75 Stealth 10SGS-893FR",https://www.boulanger.com/ref/1152048,3185,i7,7,Intel,32,Boulanger (FR)
45,"PC Gamer 
						
							Lenovo
						
						Legion7 15IMHG05-841",https://www.boulanger.com/ref/1147838,3539,i7,7,Intel,0,Boulanger (FR)
46,"PC Gamer 
						
							Asus
						
						SCAR15-G533QS-HF009T",https://www.boulanger.com/ref/1156750,3775,Ryzen 9,9,AMD,0,Boulanger (FR)
48,"PC Gamer 
						
							Asus
						
						ZEPHYRUS-S17-GX735LXS-33T",https://www.boulanger.com/ref/1144260,3598,i7,7,Intel,12,Boulanger (FR)
49,"PC Gamer 
						
							Asus
						
						SCAR17-G733QS-HG019T",https://www.boulanger.com/ref/1156755,3893,Ryzen 7,7,AMD,10,Boulanger (FR)
50,"PC Gamer 
						
							MSI
						
						GE76 Raider 10UG-249FR",https://www.boulanger.com/ref/1157091,3775,i7,7,Intel,0,Boulanger (FR)
51,"PC Gamer 
						
							MSI
						
						GE76 Raider 10UH-248FR",https://www.boulanger.com/ref/1157080,4483,i7,7,Intel,0,Boulanger (FR)
52,"PC Gamer 
						
							Lenovo
						
						Legion7 15IMHG05-582",https://www.boulanger.com/ref/1147839,4365,i7,7,Intel,0,Boulanger (FR)
53,"PC Gamer 
						
							MSI
						
						Creator 15 A10UG-235FR",https://www.boulanger.com/ref/1157079,4483,i7,7,Intel,0,Boulanger (FR)
54,"Ordinateur portable 
						
							MSI
						
						Creator 15 A10UH-094FR",https://www.boulanger.com/ref/1157078,5073,i7,7,Intel,0,Boulanger (FR)
55,"PC Gamer 
						
							MSI
						
						GE66 Raider 10UH-279FR",https://www.boulanger.com/ref/1157077,5309,i9,9,Intel,0,Boulanger (FR)
56,"PC Gamer 
						
							Dell
						
						Inspiron G3 15-3500-249",https://www.boulanger.com/ref/1156856,1061,i5,5,Intel,0,Boulanger (FR)
